ISO,Date,Temperature_Weighted_Daily_Average,Humidity_Weighted_Daily_Average,SW_Weighted_Daily_Average
JPN,2020-01-01,4.37332495005077,0.0034494803359307155,100.12330054186484
JPN,2020-01-02,5.542322749273825,0.003959637230917372,99.66017545654782
JPN,2020-01-03,5.830635156746032,0.004122225694817741,99.85841946443739
JPN,2020-01-04,5.746484971026569,0.0037632682710717577,97.37496181756522
JPN,2020-01-05,4.572757333252891,0.0032458079424246547,91.26021380471838
JPN,2020-01-06,5.775754326758927,0.0037027358895931938,106.73986414202437
JPN,2020-01-07,5.8397453703740325,0.0051866896276722245,55.43289978393903
JPN,2020-01-08,7.46638744095781,0.005223718485328964,61.95119013483771
JPN,2020-01-09,7.5557070093911465,0.0041309084182075545,104.60547259216406
JPN,2020-01-10,5.996900668182051,0.004098609596032873,104.7140189706294
JPN,2020-01-11,5.970681190995691,0.004432721366990625,98.23753745378337
JPN,2020-01-12,5.770541913291669,0.004556534322626758,64.37303947388705
JPN,2020-01-13,6.115299318194569,0.004217339501013208,106.4540175819024
JPN,2020-01-14,6.1866990432163975,0.004680080794432747,89.69314391527908
JPN,2020-01-15,5.030647054912501,0.0040285049909545316,75.7073223434143
JPN,2020-01-16,4.935501213094878,0.003720182549760936,91.14946484199305
JPN,2020-01-17,5.5486998397022145,0.0040549746315844985,80.19134332583455
JPN,2020-01-18,3.4805605900721637,0.0037516515847388094,57.338985294452996
JPN,2020-01-19,5.7245098217185975,0.003977916063710177,111.32059870380627
JPN,2020-01-20,6.616690972110533,0.004013423669162401,105.46966190196959
JPN,2020-01-21,4.380701124936319,0.0032571389243625983,107.10839550251187
JPN,2020-01-22,5.78986188025067,0.0043428696413417315,86.60094709445833
JPN,2020-01-23,7.316427676413052,0.0058925472934936675,52.46313718236233
JPN,2020-01-24,7.778780542914501,0.004825692309678804,83.46855512144536
JPN,2020-01-25,5.911610971349725,0.0039062055059052546,91.10818489531661
JPN,2020-01-26,5.374572172355855,0.004177079752784429,70.87795530569942
JPN,2020-01-27,4.673031956539517,0.004425019644726269,35.09187759645983
JPN,2020-01-28,7.9479147565720565,0.006115525883985547,52.104266555075576
JPN,2020-01-29,9.614613757104943,0.005811319009572894,102.98400509165903
JPN,2020-01-30,8.14881546713214,0.004510283606587724,112.36694857527054
JPN,2020-01-31,5.131134591690397,0.003235551898367421,104.71688262167989
JPN,2020-02-01,5.310857981267783,0.0032014200043000668,123.34116772697162
JPN,2020-02-02,6.021841096798874,0.003726153259695206,128.02130037129217
JPN,2020-02-03,6.776264071659172,0.003921885157054987,127.87645880419886
JPN,2020-02-04,5.4264251945841915,0.003746646262188387,123.0916142209614
JPN,2020-02-05,3.648603726204346,0.00281341105412477,126.2628319871124
JPN,2020-02-06,0.36142145801812714,0.00222566145914115,125.49943969987018
JPN,2020-02-07,2.8196625153803017,0.003083711383368184,127.2333078840854
JPN,2020-02-08,3.766111588097509,0.003068820583261396,128.75641412657714
JPN,2020-02-09,1.3729050214377476,0.0024238644303251587,122.5967275478913
JPN,2020-02-10,3.547802879484614,0.0031778179093583667,126.20739170542628
JPN,2020-02-11,4.683220713991594,0.0032211772344178675,149.85806182228518
JPN,2020-02-12,8.817722037160822,0.005154071258249735,123.57315287083104
JPN,2020-02-13,10.648433776169572,0.0063538962174128815,130.1635366495839
JPN,2020-02-14,9.86318896205741,0.0065526606716474495,84.72376901033066
JPN,2020-02-15,10.027705314990904,0.006250536976056643,90.92998097783068
JPN,2020-02-16,8.148105387997132,0.006358198983528144,34.43400913138444
JPN,2020-02-17,5.781031055256091,0.0042943763141074535,100.95073823826425
JPN,2020-02-18,4.509709830868686,0.0030340606858275366,123.02251741860549
JPN,2020-02-19,6.04427557223083,0.003635318328871781,147.50025695333903
JPN,2020-02-20,6.762005515411789,0.0043291255448807235,122.42577067462055
JPN,2020-02-21,8.384895131890403,0.004802387063972627,166.71929427071646
JPN,2020-02-22,9.867611584556451,0.005417573653161231,113.30275847683446
JPN,2020-02-23,6.519912704536162,0.0032760775908077435,148.7398710261031
JPN,2020-02-24,8.332295536416082,0.004497412924683379,170.4640983531295
JPN,2020-02-25,9.148997030351651,0.005690838259891645,114.6327101210165
JPN,2020-02-26,6.7303175799616275,0.0048676819962221295,100.44739417494182
JPN,2020-02-27,4.363518829237651,0.0029336207934090486,142.1288634629939
JPN,2020-02-28,5.971987880614513,0.003666680428388897,150.41351071770183
JPN,2020-02-29,7.706028702779649,0.0052884244149484574,130.67373277607675
JPN,2020-03-01,9.373795619004225,0.005247804437040392,152.90937146340315
JPN,2020-03-02,7.365236665379401,0.005252284724913054,110.44388450637227
JPN,2020-03-03,9.239902797493704,0.004768106678325706,160.34670725669812
JPN,2020-03-04,7.207107164445035,0.005625558363131244,51.60398465210536
JPN,2020-03-05,6.081182060934334,0.003048523294721893,140.55728853183297
JPN,2020-03-06,6.498574868527101,0.0033686428484843963,187.8847908629584
JPN,2020-03-07,7.4714365459327485,0.004842234372395217,125.3595428215378
JPN,2020-03-08,7.514951452629633,0.005673477023507292,73.34297992586237
JPN,2020-03-09,12.480111721515536,0.007576029129401087,145.12104079151786
JPN,2020-03-10,12.807424152625579,0.008675316952670976,56.70136535505253
JPN,2020-03-11,9.707785286513909,0.004529793894368111,177.60751139156432
JPN,2020-03-12,8.971997564557762,0.004568757058994906,202.1163039500153
JPN,2020-03-13,10.495093288718572,0.005228692124242188,165.35732372064842
JPN,2020-03-14,4.286190193616259,0.004321102296735731,64.33745958661403
JPN,2020-03-15,6.296751184549086,0.0038119614967635556,169.95976152826182
