Country,ISO,Stringency,DATE,Source,Notes
Singapore,SGP,3,14/04/2020,masks4all,masks4all link: https://www.straitstimes.com/singapore/coronavirus-mandatory-for-all-to-wear-a-mask-when-out-with-exceptions-for-kids-under-2-and
Gabon,GAB,3,15/04/2020,ACAPS ID 6121,
Nigeria,NGA,1,15/04/2020,ACAPS ID 6421,
Eswatini,SWZ,2,16/04/2020,ACAPS ID 5664,
Poland,POL,3,16/04/2020,ACAPS ID 4928,
South Africa,ZAF,2,16/04/2020,ACAPS ID 6615,
Gambia,GMB,1,17/04/2020,ACAPS ID 6603,
Libya,LBY,2,17/04/2020,ACAPS ID 6165,
Andorra,AND,3,18/4/2020,masks4all,masks4all link: https://www.brujulabike.com/andorra-permite-ejercicio-mascarilla-obligatoria-prohibido-ciclismo/
Guinea,GIN,3,18/04/2020,ACAPS ID 6122,
Saint Kitts and Nevis,KNA,3,18/04/2020,ACAPS ID 9559,
Zambia,ZMB,3,18/04/2020,masks4all (date estimated),masks4all link: https://www.nation.co.ke/news/africa/Zambia-records-four-new-cases-of-Covid-19/1066-5527684-4mqoeez/index.html
Bahamas,BHS,3,19/4/2020,masks4all,masks4all link: http://eleutheranews.com/?p=22315
Bahrain,BHR,3,19/4/2020,ACAPS ID 5437,
Ghana,GHA,1,19/04/2020,ACAPS ID 6419,
Rwanda,RWA,3,19/04/2020,ACAPS ID 7123,
Georgia,GEO,2,20/04/2020,masks4all,masks4all link: https://ge.usembassy.gov/alert-prohibition-on-car-traffic-starting-12-noon-friday-april-17/
Luxembourg,LUX,2,20/04/2020,ACAPS ID 6194,
Senegal,SEN,2,20/04/2020,masks4all,masks4all link: http://www.xinhuanet.com/english/2020-04/21/c_138996216.htm
Sierra Leone,SLE,2,20/04/2020,ACAPS ID 6429,
Sao Tome and Principe,STP,2,21/04/2020,ACAPS ID 9595,
Uruguay,URY,2,21/04/2020,ACAPS ID 8946,
Congo DR,COD,3,22/04/2020,ACAPS ID 7002,
Germany,DEU,2,22/04/2020,ACAPS ID 7198,
Jamaica,JAM,3,22/04/2020,masks4all,masks4all link: https://www.voanews.com/covid-19-pandemic/jamaica-tightens-curfews-and-makes-wearing-mask-mandatory
Sierra Leone,SLE,3,22/04/2020,ACAPS ID 7056,
Croatia,HRV,1,23/04/2020,ACAPS ID 7668,
North Macedonia,MKD,3,23/04/2020,ACAPS ID 8582,
Belgium,BEL,1,24/4/2020,ACAPS ID 7602,
Liberia,LBR,3,24/04/2020,ACAPS ID 8172,
Mauritius,MUS,3,24/04/2020,masks4all,"masks4all link: http://www.govmu.org/English/News/Pages/Covid-19-Post-confinement-will-be-phase-wise,-says-PM.aspx"
